Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Alberto Sebastian Torres de la Mota,M,34.0,173.0,67.0,Dominican Republic,DOM,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,No Medal,173.0,67.0
Bent Harsmann,M,27.0,189.0,108.0,Denmark,DEN,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Heavyweight,No Medal,189.0,108.0
Viktor Arsenyevich Kapitonov,M,26.0,178.0,73.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",Gold,178.0,73.0
Tamara Ivanovna Manina,F,30.0,162.0,56.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,No Medal,162.0,56.0
"Charles Elmer Clapp, III",M,25.0,196.0,85.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Silver,196.0,85.0
Fabienne Serrat (-Lscher),F,27.0,170.0,63.0,France,FRA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,No Medal,170.0,63.0
Dean Oldershaw,M,26.0,180.0,71.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No Medal,180.0,71.0
Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horse Vault,No Medal,168.0,62.0
"Raymond James ""Ray"" Mayers",M,24.0,190.0,92.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,No Medal,190.0,92.0
Kazuyasu Minobe,M,29.0,177.0,75.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Individual",No Medal,177.0,75.0
Susan Margaret Auch,F,27.0,172.0,65.0,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Women's 500 metres,Silver,172.0,65.0
Paolo Lorenzi,M,34.0,183.0,77.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,No Medal,183.0,77.0
Yury Vasilyevich Istomin,M,28.0,169.0,71.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Bronze,169.0,71.0
Nina Stephanie Wengert,F,24.0,182.0,72.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,No Medal,182.0,72.0
Danny Silva,M,36.0,165.0,60.0,Portugal,POR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,165.0,60.0
Roseli de Belo,F,26.0,156.0,56.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,No Medal,156.0,56.0
Christina Geiger,F,20.0,170.0,67.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,No Medal,170.0,67.0
Andreas Zehrer,M,38.0,197.0,87.0,Austria,AUT,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No Medal,197.0,87.0
Choi Sang-Seon,M,28.0,168.0,63.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",No Medal,168.0,63.0
Chen Chin-San,M,25.0,178.0,86.0,Chinese Taipei,TPE,1988 Winter,1988,Winter,Calgary,Bobsleigh,Bobsleigh Men's Four,No Medal,178.0,86.0
"Leonid ""Len"" Zaslavsky",M,26.0,171.0,69.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Featherweight, Freestyle",No Medal,171.0,69.0
Louis Jggi,M,23.0,167.0,58.0,Switzerland,SUI,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,No Medal,167.0,58.0
Josef Dostl,M,23.0,202.0,115.0,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,202.0,115.0
Li Bin,M,24.0,185.0,95.0,China,CHN,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,No Medal,185.0,95.0
