Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Ren cuyer,M,23.0,190.0,73.0,France,FRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No Medal,190.0,73.0
Frank ivind Stefan Andersson,M,28.0,186.0,93.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,186.0,93.0
Jai Desmond Taurima,M,28.0,188.0,80.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,Silver,188.0,80.0
Joanna Huoareau,F,21.0,160.0,54.0,Seychelles,SEY,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,No Medal,160.0,54.0
Ralph Kern,M,21.0,171.0,65.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Individual All-Around,No Medal,171.0,65.0
Abdul Rahman Khalid,M,22.0,180.0,69.0,Bahrain,BRN,1988 Summer,1988,Summer,Seoul,Modern Pentathlon,Modern Pentathlon Men's Team,No Medal,180.0,69.0
Christian Nsiah,M,24.0,190.0,79.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,No Medal,190.0,79.0
Hanna Marjaana Kuoppala,F,30.0,179.0,79.0,Finland,FIN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,No Medal,179.0,79.0
Simone Facey,F,31.0,162.0,53.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,162.0,53.0
Blanca Jeanette Morales Macella,F,22.0,173.0,57.0,Guatemala,GUA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Butterfly,No Medal,173.0,57.0
"David ""Dave"" Smith",M,26.0,193.0,115.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Hammer Throw,No Medal,193.0,115.0
Nataliya Lvovna Permyakova,F,23.0,165.0,51.0,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,No Medal,165.0,51.0
Roberto Strauss,M,20.0,180.0,70.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No Medal,180.0,70.0
Pascal Loretan,M,23.0,168.0,66.0,Switzerland,SUI,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No Medal,168.0,66.0
Pavel Ploc,M,28.0,176.0,73.0,Czechoslovakia,TCH,1972 Winter,1972,Winter,Sapporo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,No Medal,176.0,73.0
Lynn Joyce Roethke,F,31.0,162.0,60.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Middleweight,No Medal,162.0,60.0
Manuel Fumic,M,30.0,173.0,68.0,Germany,GER,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",No Medal,173.0,68.0
Yevgeniya Anatolyevna Shapovalova,F,27.0,168.0,57.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,No Medal,168.0,57.0
Jari Sakari Mantila,M,20.0,189.0,73.0,Finland,FIN,1992 Winter,1992,Winter,Albertville,Nordic Combined,Nordic Combined Men's Individual,No Medal,189.0,73.0
David Beard,M,26.0,196.0,95.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,No Medal,196.0,95.0
Rikio Sato,M,24.0,172.0,75.0,Japan-2,JPN,1972 Winter,1972,Winter,Sapporo,Bobsleigh,Bobsleigh Men's Two,No Medal,172.0,75.0
Zain Shaito,M,21.0,185.0,72.0,Lebanon,LIB,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",No Medal,185.0,72.0
Ioan Silviu Suciu,M,26.0,169.0,66.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,No Medal,169.0,66.0
Slavko Obadov,M,28.0,180.0,80.0,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Middleweight,Bronze,180.0,80.0
Astrid Murielle Guyart,F,29.0,174.0,59.0,France,FRA,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Team",No Medal,174.0,59.0
Aleksey Vasilyevich Klimov,M,40.0,182.0,88.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No Medal,182.0,88.0
Dalimil Nejezchleba,M,19.0,185.0,70.0,Czechoslovakia,TCH,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Rifle, 10 metres",No Medal,185.0,70.0
Hans Ettlin,M,23.0,162.0,56.0,Switzerland,SUI,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,162.0,56.0
Rajyavardhan Singh Rathore,M,34.0,188.0,85.0,India,IND,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,Silver,188.0,85.0
"David John ""Dave"" Black",M,27.0,183.0,66.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,No Medal,183.0,66.0
Brenda S. White (-Smith),F,26.0,173.0,59.0,United States,USA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,No Medal,173.0,59.0
Wieger Emile Mensonides,M,22.0,178.0,81.0,Netherlands,NED,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,178.0,81.0
Jorge Santos di Giandomnico y Flia,M,45.0,184.0,84.0,Argentina,ARG,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",No Medal,184.0,84.0
Ibrahim Okash Omar,M,19.0,180.0,65.0,Somalia,SOM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,No Medal,180.0,65.0
Lena Kristina Adler,F,18.0,162.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Horse Vault,No Medal,162.0,56.0
Steven Lawrence Gluckstein,M,22.0,170.0,63.0,United States,USA,2012 Summer,2012,Summer,London,Trampolining,Trampolining Men's Individual,No Medal,170.0,63.0
Wang Min,F,24.0,174.0,63.0,China,CHN,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,No Medal,174.0,63.0
Ludwig Gredler,M,26.0,181.0,79.0,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,No Medal,181.0,79.0
Oliver Bone,M,27.0,180.0,69.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,No Medal,180.0,69.0
Tom Kapusta,M,26.0,182.0,86.0,Czech Republic,CZE,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,182.0,86.0
Wang Haibo,M,22.0,181.0,77.0,China,CHN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,No Medal,181.0,77.0
Yoshitaka Muroya,M,22.0,168.0,58.0,Japan,JPN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 800 metres,No Medal,168.0,58.0
Mauri Uolevi Rppnen,M,38.0,176.0,71.0,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No Medal,176.0,71.0
Oscar Caceres Lpez,M,48.0,171.0,67.0,Peru,PER,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No Medal,171.0,67.0
Annette Poulsen,F,19.0,170.0,56.0,Denmark,DEN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Individual Medley,No Medal,170.0,56.0
Ole Einar Bjrndalen,M,40.0,178.0,65.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,No Medal,178.0,65.0
Pascal Laget,M,20.0,184.0,72.0,France,FRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No Medal,184.0,72.0
Nemanja Mirosavljev,M,30.0,185.0,70.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",No Medal,185.0,70.0
Sylvia Eder,F,28.0,172.0,60.0,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G,No Medal,172.0,60.0
Amanda Elmore,F,25.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold,180.0,80.0
Alicja Iwona Pczak (-Graczyk),F,26.0,168.0,52.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke,No Medal,168.0,52.0
Jonty Evans,M,44.0,193.0,82.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No Medal,193.0,82.0
Flemming Bjarne Solberg,M,22.0,168.0,62.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar,No Medal,168.0,62.0
Karine Brmond (-Loureiro),F,21.0,174.0,58.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke,No Medal,174.0,58.0
"Alexandra Rose ""Aly"" Raisman",F,18.0,157.0,52.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,No Medal,157.0,52.0
Viktor Ryabchenko,M,23.0,186.0,75.0,Kazakhstan,KAZ,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,No Medal,186.0,75.0
Mohamed Lazhari,M,22.0,175.0,65.0,France,FRA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,No Medal,175.0,65.0
Leinier Eunice Per Justiz,M,23.0,192.0,94.0,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,No Medal,192.0,94.0
Annabelle Orme,F,21.0,160.0,54.0,United States,USA,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,No Medal,160.0,54.0
Carlos Alberto Uribe Gmez,M,22.0,172.0,73.0,Colombia,COL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,No Medal,172.0,73.0
Pang Qing,F,22.0,160.0,46.0,China-2,CHN,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,No Medal,160.0,46.0
Vadim Gennadyevich Makhnyov,M,28.0,196.0,100.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,196.0,100.0
Tolyashboy Doniyorov,M,23.0,166.0,51.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Flyweight,No Medal,166.0,51.0
Rita Peri,F,15.0,159.0,47.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Balance Beam,No Medal,159.0,47.0
Vasily Stepanovich Melnikov,M,24.0,171.0,72.0,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,No Medal,171.0,72.0
Bruce Bernard Ibbetson,M,31.0,188.0,83.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Silver,188.0,83.0
Marek Krzysztof Witkowski,M,22.0,185.0,87.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No Medal,185.0,87.0
Stephen James Gough,M,21.0,182.0,75.0,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",No Medal,182.0,75.0
Bla Bartalos,M,28.0,182.0,82.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,No Medal,182.0,82.0
Mashallah Amin Sorour,M,33.0,165.0,69.0,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal,165.0,69.0
Emilio Echeverry de la Roche,M,27.0,175.0,68.0,Colombia,COL,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Individual",No Medal,175.0,68.0
Hana n,F,19.0,157.0,40.0,Czechoslovakia,TCH,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,No Medal,157.0,40.0
Evangelia Psarra,F,38.0,172.0,63.0,Greece,GRE,2012 Summer,2012,Summer,London,Archery,Archery Women's Individual,No Medal,172.0,63.0
Yevgeniy Yuryevich Lukyanenko,M,23.0,190.0,79.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,Silver,190.0,79.0
Okkert Brits,M,22.0,198.0,96.0,South Africa,RSA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,No Medal,198.0,96.0
Tokio Sato,M,25.0,163.0,61.0,Japan,JPN,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,163.0,61.0
Walter Mller,M,24.0,174.0,67.0,Switzerland,SUI,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Rings,No Medal,174.0,67.0
"Gerald ""Gerry"" McIntyre",M,31.0,163.0,54.0,Ireland,IRL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Marathon,No Medal,163.0,54.0
Han Yucheng,M,25.0,178.0,55.0,China,CHN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 50 kilometres Walk,No Medal,178.0,55.0
Ivan Petkov Kolev,M,26.0,168.0,66.0,Bulgaria,BUL,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,Bronze,168.0,66.0
Byron Lester Krieger,M,36.0,174.0,73.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Individual",No Medal,174.0,73.0
Peter Gorny,M,27.0,189.0,84.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,No Medal,189.0,84.0
Francesca Ferretti,F,24.0,180.0,70.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,No Medal,180.0,70.0
Blair Hilton,M,22.0,181.0,78.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,No Medal,181.0,78.0
Sylvia Honegger (-Wigger),F,25.0,165.0,51.0,Switzerland,SUI,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,No Medal,165.0,51.0
Ayumi Sato,F,20.0,160.0,56.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,No Medal,160.0,56.0
Alizee Baron,F,21.0,175.0,64.0,France,FRA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,No Medal,175.0,64.0
Rashid Salih Hamad Al-Athba,M,20.0,182.0,85.0,Qatar,QAT,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,No Medal,182.0,85.0
Takhir Mamashayev,M,28.0,176.0,65.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,No Medal,176.0,65.0
Irina Yuryevna Dolgova,F,20.0,153.0,48.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,No Medal,153.0,48.0
Natalie Davies,F,17.0,150.0,47.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,No Medal,150.0,47.0
David Bissett,M,34.0,179.0,102.0,Canada-2,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,179.0,102.0
Lyubomir Svetoslavov Popov,M,20.0,184.0,81.0,Bulgaria,BUL,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,No Medal,184.0,81.0
"Mary Abigail ""Abby"" Wambach",F,32.0,180.0,81.0,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold,180.0,81.0
"Donald O'Reilly ""Don"" Quarrie",M,25.0,175.0,70.0,Jamaica,JAM,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,Silver,175.0,70.0
"Kenneth ""Ken"" Price",M,35.0,180.0,90.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Middle-Heavyweight,No Medal,180.0,90.0
Jonathan David Edwards,M,26.0,182.0,73.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Triple Jump,No Medal,182.0,73.0
Velik Nikolov Kapsazov,M,25.0,167.0,67.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings,Bronze,167.0,67.0
Kim Eun-Mi,F,16.0,160.0,47.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,No Medal,160.0,47.0
Arne Thomsen,M,26.0,172.0,63.0,Denmark,DEN,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,172.0,63.0
Leung Ka Ming,M,23.0,184.0,78.0,Hong Kong,HKG,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's epee, Individual",No Medal,184.0,78.0
Atsuji Miyahara,M,29.0,155.0,57.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,155.0,57.0
Wilfried Grbner,M,26.0,182.0,70.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Gold,182.0,70.0
Pavel Gajdo,M,23.0,168.0,65.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,No Medal,168.0,65.0
Rkarur Rkarsson,M,22.0,186.0,83.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,No Medal,186.0,83.0
Pedro Manuel Barata Lima,M,21.0,183.0,77.0,Angola,ANG,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,No Medal,183.0,77.0
Auriol Dongmo Mekemnang,F,26.0,173.0,95.0,Cameroon,CMR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,No Medal,173.0,95.0
estmr Kalina,M,26.0,183.0,97.0,Czechoslovakia,TCH,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Shot Put,No Medal,183.0,97.0
Todor Asenov Skrimov,M,22.0,191.0,82.0,Bulgaria,BUL,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,No Medal,191.0,82.0
Slobodan ivojinovi,M,25.0,198.0,96.0,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,No Medal,198.0,96.0
Stijn Smulders,M,21.0,194.0,92.0,Belgium,BEL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,No Medal,194.0,92.0
"David ""Dave"" Davies",M,23.0,190.0,84.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 10 kilometres Open Water,Silver,190.0,84.0
Jaime Oncins,M,22.0,196.0,80.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Men's Doubles,No Medal,196.0,80.0
Vilikton Innokentyevich Barannikov,M,22.0,160.0,60.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,No Medal,160.0,60.0
Oleg Karpov,M,26.0,165.0,65.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No Medal,165.0,65.0
Raquel Huertas Soler,F,26.0,159.0,56.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,No Medal,159.0,56.0
Vctor Colon Ortz,M,20.0,170.0,66.0,Puerto Rico,PUR,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,No Medal,170.0,66.0
Noura Mohamed,F,18.0,173.0,60.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",No Medal,173.0,60.0
Kelly Garrison-Steves (-Funderburk),F,21.0,155.0,48.0,United States,USA,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,No Medal,155.0,48.0
Erik Duyvelshoff,M,21.0,180.0,73.0,Netherlands,NED,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,No Medal,180.0,73.0
Karl Tore William Thoresson,M,20.0,171.0,67.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,No Medal,171.0,67.0
Mariya Yevgenyevna Kryuchkova,F,16.0,150.0,39.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No Medal,150.0,39.0
Ato Jabari Boldon,M,26.0,176.0,75.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,Silver,176.0,75.0
Georgi Angelov Petrov,M,34.0,173.0,89.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Middleweight,No Medal,173.0,89.0
Silvia Parera Carrau,F,19.0,168.0,59.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,No Medal,168.0,59.0
Suleimana Tetteh,M,19.0,167.0,49.0,Ghana,GHA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Flyweight,No Medal,167.0,49.0
Tamara Vladimirovna Bykova,F,21.0,179.0,62.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's High Jump,No Medal,179.0,62.0
Yi Jianlian,M,20.0,213.0,113.0,China,CHN,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,No Medal,213.0,113.0
Mogens Pedersen,M,22.0,186.0,80.0,Denmark,DEN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,No Medal,186.0,80.0
Minna Helena Salmela (-Haipus),F,25.0,177.0,61.0,Finland,FIN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,No Medal,177.0,61.0
Jeret Peterson,M,20.0,175.0,80.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Men's Aerials,No Medal,175.0,80.0
Li Hongxia,F,21.0,168.0,63.0,China,CHN,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Silver,168.0,63.0
Mary Andray Berkeley (-Agyepong),F,22.0,176.0,65.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Long Jump,No Medal,176.0,65.0
Mario Cevasco,M,25.0,181.0,75.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,No Medal,181.0,75.0
Vesa Juhani Hanski,M,22.0,185.0,76.5,Finland,FIN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,No Medal,185.0,76.5
Mykhailo Oleksiyovych Tyshko,M,29.0,186.0,82.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Team",Bronze,186.0,82.0
Jzsef Kosztyn,M,25.0,182.0,83.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No Medal,182.0,83.0
Nickiesha Wilson,F,25.0,174.0,66.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres Hurdles,No Medal,174.0,66.0
Pascal Thibaut,M,29.0,175.0,60.0,France,FRA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",No Medal,175.0,60.0
Alain (Ali-) Mimoun Ould Kacha,M,27.0,170.0,56.0,France,FRA,1948 Summer,1948,Summer,London,Athletics,"Athletics Men's 5,000 metres",No Medal,170.0,56.0
Ivn Kovcs,M,22.0,184.0,85.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Team",Silver,184.0,85.0
Milaine Thriault,F,24.0,167.0,59.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,No Medal,167.0,59.0
Francesco Moser,M,21.0,180.0,79.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal,180.0,79.0
Burgl Frbinger (-Leo),F,22.0,172.0,63.0,West Germany,FRG,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Giant Slalom,No Medal,172.0,63.0
Meji Mwanba,M,30.0,195.0,115.0,Congo (Kinshasa),COD,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Super-Heavyweight,No Medal,195.0,115.0
Mamo Wolde,M,24.0,170.0,54.0,Ethiopia,ETH,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,170.0,54.0
Ken Kotyk,M,25.0,183.0,88.0,Canada-1,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,183.0,88.0
"Frances ""Fran"" Adcock",F,20.0,178.0,72.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,No Medal,178.0,72.0
Oyeyemi Olugbenga Olatokunbo James Dasaolu,M,28.0,187.0,88.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,No Medal,187.0,88.0
Marco Galiazzo,M,25.0,178.0,98.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Team,Silver,178.0,98.0
"Deborah ""Debbie"" Sonnenberg",F,25.0,180.0,80.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,No Medal,180.0,80.0
"Dominick Minicucci, Jr.",M,23.0,167.0,66.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Rings,No Medal,167.0,66.0
